GRAPH,NODE DISTANCE,Node,DATE,CLASS,THEMES,P_VALUE,DOCSENTIMENT,SENTIMENT,FINANCIALSENTIMENT,IMPACT,SALIENCY_V1,CONFIDENCE
Alphabet Inc,1,Sandp Global Inc,3/11/22,Investigation,"
  Merger and Acquisition,
  SASB Customer Privacy,
  SASB Supply Chain Management,
  Cyber Crime,
  SASB Materials Sourcing & Efficiency,
  Supply Chain,
  SASB Data Security,
  Lawsuit,
  SASB Management of the Legal & Regulatory Environment
",0.235294,0.178989157,0.064200036,0.21344696,0.911452472,0.731280863,0.598305525
Pepsico Inc,1,Sandp Global Inc,3/11/22,Investigation,"
  Merger and Acquisition,
  SASB Customer Privacy,
  SASB Supply Chain Management,
  Cyber Crime,
  SASB Materials Sourcing & Efficiency,
  Supply Chain,
  SASB Data Security,
  Lawsuit,
  SASB Management of the Legal & Regulatory Environment
",0.235294,0.178989157,0.064200036,0.21344696,0.911452472,0.731280863,0.598305525
Goldman Sachs Group Inc,2,Sun Pharmaceutical Industries Inc,3/24/22,Dispute,"
  Merger and Acquisition,
  Lawsuit,
  SASB Business Ethics
",0.117647,-0.032858335,-0.309449822,,0.582381308,0.648333251,0.625461684
Microsoft Corp,1,Hp Inc,3/24/22,Wire Fraud,"
  Supply Chain
",0.235294,0.014524138,-0.213413969,-0.875577569,0.784559906,0.868309319,0.46896394
Microsoft Corp,2,Nvidia Corp,2/27/22,Interruption,"
  Government
",0.176471,-0.098229997,-0.30388087,0,0.831468463,0.879516244,0.496197824
Pepsico Inc,1,Moodys Corp /De/,2/16/22,Disruption,"
  Economic Activity,
  Supply Chain,
  Coronavirus,
  SASB Materials Sourcing & Efficiency,
  Credit Change
",0.235294,0.058740173,-0.354516029,-0.096913926,0.631321371,0.623959959,0.705426548
Coca-Cola Company,1,Altria Group,3/22/22,Disruption,"
  Banking
",0.058824,0.044558335,0.264601529,,0.559164166,0.725574374,0.597912303
Morgan Stanley International Holdings Inc,2,Coinbase Global Inc,3/4/22,Sanctions,"
  Blockchain,
  Cyber Security,
  Cybercurrency,
  Sanctions,
  Cyber Crime
",0.294118,-0.012015152,0.002089784,,0.85636723,0.924363971,0.597305675
Goldman Sachs Group Inc,1,Fair Isaac Corp,1/27/22,Disruption,"
  Earnings
",0.235294,0.106546372,0,,0.599518478,0.818077445,0.58441019
Pepsico Inc,1,Moodys Corp /De/,2/5/22,Fraud,"
  Default,
  Credit Change,
  Coronavirus
",0.235294,0.140127584,-0.337573349,-0.077933557,0.761417925,0.592126131,0.776636458
Coca-Cola Company,2,Wells Fargo And Company,3/14/22,Data Breach,"
  Banking
",0.235294,-0.127648652,-0.15001528,,0.742797434,0.550848424,0.51108284
Microsoft Corp,2,Barclays Plc,2/23/22,Investigation,"
  Employee Relations,
  Banking,
  Management Change
",0.294118,0.257172346,0.087772057,0.52728492,0.941074312,0.956472337,0.547217909
Microsoft Corp,2,Moodys Corp /De/,1/14/22,Fraud,"
  Credit Change,
  Supply Chain,
  SASB Materials Sourcing & Efficiency
",0.058824,0.138531581,-0.25772202,0,0.709442854,0.572967649,0.76375787
Morgan Stanley International Holdings Inc,2,Accenture Plc,3/12/22,Arrest,"
  SASB Business Model Resilience,
  SASB Employee Engagement, Diversity & Inclusion,
  Social Justice
",0.058824,0.259818763,0.088581018,,0.859319806,0.953694284,0.695421169
Microsoft Corp,2,Moodys Corp /De/,2/26/22,Breach,"
  Natural Disaster,
  Bankruptcy,
  SASB Supply Chain Management,
  Payment Default,
  Lending,
  Default,
  Disruptive Event,
  Credit Change
",0.058824,0.149023861,-0.269105643,0,0.836078227,0.59559834,0.776636458
Morgan Stanley International Holdings Inc,1,Moodys Corp /De/,2/26/22,Bankruptcy,"
  Natural Disaster,
  Bankruptcy,
  SASB Supply Chain Management,
  Payment Default,
  Lending,
  Default,
  Disruptive Event,
  Credit Change
",0.058824,0.149023861,-0.269105643,0,0.836078227,0.59559834,0.776636458
Alphabet Inc,1,Bank Of New York Mellon Corp,1/25/22,Disruption,"
  Banking
",0.117647,0.242026806,0.226066336,0,0.739866376,0.602220297,0.589594414
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,2/25/22,Interruption,"
  Default,
  Credit Change
",0.235294,0.191919491,-0.336771011,0,0.713471293,0.621246934,0.776717648
Alphabet Inc,3,Mastercard Inc,3/5/22,Disruption,"
  Government,
  Presidential Transition,
  Economic Activity,
  Banking
",0.176471,-0.020932,-0.00191571,-0.930651069,0.67711705,0.921046138,0.60068121
Pepsico Inc,3,Mastercard Inc,3/5/22,Disruption,"
  Government,
  Presidential Transition,
  Economic Activity,
  Banking
",0.176471,-0.020932,-0.00191571,-0.930651069,0.67711705,0.921046138,0.60068121
Pepsico Inc,1,Visa Inc,3/5/22,Disruption,"
  Banking,
  Presidential Transition,
  Government,
  Economic Activity
",0.235294,-0.020932,-0.088468015,-0.809705436,0.72696954,0.96089083,0.602309166
Pepsico Inc,1,Nestle Sa Cham Et Ve,3/25/22,International Sanction,"
  Automotive Industry,
  Supply Chain,
  SASB Materials Sourcing & Efficiency
",0.058824,0.013107463,-0.008551594,,0.694859862,0.798609793,0.501671398
Coca-Cola Company,2,Facebook Inc,2/27/22,Protest,"
  Cyber Crime,
  Sanctions,
  Cyber Security,
  Nuclear,
  Banking,
  Coronavirus,
  Military,
  Government
",0.058824,-0.063195601,-0.202304304,,0.680360079,0.68567425,0.509387737
Pepsico Inc,1,Deutsche Bank,3/13/22,Sanctions,"
  Banking,
  Cybercurrency,
  Sanctions,
  Blockchain
",0.117647,0.060676001,-0.148311585,,0.708161235,0.95040226,0.510303916
Goldman Sachs Group Inc,2,Moodys Corp /De/,1/28/22,Operational Disruption,"
  Earnings,
  Credit Change,
  Coronavirus
",0.235294,0.154446259,-0.249958009,0.178450555,0.731799364,0.629972577,0.776622733
Microsoft Corp,2,Bank Of America Corp,1/30/22,Disruption,"
  Economic Activity
",0.176471,0.130559996,-0.248375207,-0.965037227,0.792970836,0.985643387,0.600787037
Alphabet Inc,1,Banco Santander Sa,2/12/22,Interruption,"
  Banking
",0.058824,-0.426824987,-0.264100879,,0.805879474,0.962616265,0.57198278
Pepsico Inc,1,Apollo Global Management Llc,1/24/22,Sanctions,"
  Harassment
",0.117647,0.01367037,-0.242849082,,0.840731323,0.931097686,0.598351629
Coca-Cola Company,1,Sandp Global Inc,1/4/22,Investigation,"
  Employee Relations,
  Oil,
  Joint Venture / Parthership,
  Supply Chain,
  Money Laundering,
  SASB Competitive Behavior,
  Government,
  Fintech,
  SASB Business Ethics,
  Lawsuit,
  Merger and Acquisition,
  SASB Materials Sourcing & Efficiency
",0.176471,0.217559293,,,0.761634171,0.753937721,0.543520551
Alphabet Inc,2,Amazon Com Inc,1/5/22,Investigation,"
  e-Commerce,
  Merger and Acquisition
",0.058824,0.122637033,-0.225586265,-0.947679758,0.784278393,0.958008707,0.577224147
Pepsico Inc,3,Mitsubishi Ufj Financial Group Inc,1/4/22,Investigation,"
  Coronavirus
",0.058824,0.305059701,0.255643666,0.867948592,0.584915459,0.658687294,0.576999128
Morgan Stanley International Holdings Inc,1,State Street Corp,3/29/22,Sanctions,"
  Banking
",0.266667,-0.006857143,-0.137973621,0,0.656952977,0.946366727,0.58381557
Microsoft Corp,1,Hewlett Packard Enterprise Comp,2/16/22,Ransomware Attack,"
  Merger and Acquisition,
  Cyber Crime,
  Cyber Security
",0.176471,0.162875682,0.170396402,0.905799448,0.771974146,0.636582375,0.587932511
Morgan Stanley International Holdings Inc,1,Deutsche Bank,2/21/22,Investigation,"
  Banking
",0.176471,0.047542106,-0.272670954,,0.809367418,0.831772983,0.51443318
Alphabet Inc,1,Baidu Inc,2/5/22,Investigation,"
  Banking
",0.058824,0.032641668,-0.114783242,-0.478743583,0.811026633,0.861091793,0.514869196
Pepsico Inc,3,Deutsche Bank,1/12/22,Manipulation,"
  Lawsuit,
  Banking
",0.294118,0.129115388,-0.161558181,-0.876947343,0.681637049,0.866261423,0.510540072
Microsoft Corp,2,Barclays Plc,3/6/22,Investigation,"
  Banking
",0.176471,-0.049670834,-0.029689614,-0.469894052,0.653419018,0.698049128,0.51024852
Alphabet Inc,1,Yandex Nv,2/28/22,Sanctions,"
  Sanctions
",0,0.038227271,-0.229066193,-0.970068991,0.816414058,0.967338383,0.459142689
Coca-Cola Company,1,Beyond Meat Inc,2/3/22,Sanctions,"
  Merger and Acquisition
",0.294118,0.174494699,0.292444676,0.777650237,0.71727556,0.657226682,0.523855229
Morgan Stanley International Holdings Inc,3,Crown Castle International Corp,1/6/22,Disruption,"
  Merger and Acquisition
",0,0.297372729,0.419960946,0.916505396,0.675865173,0.72328192,0.599671541
Morgan Stanley International Holdings Inc,3,Microsoft Corp,2/8/22,Cyber Breach,"
  Cyber Security,
  Cyber Crime
",0.058824,0.102600001,-0.187826246,0,0.842889071,0.773425639,0.725904469
Pepsico Inc,1,Sandp Global Inc,3/11/22,Fraud,"
  Merger and Acquisition,
  SASB Customer Privacy,
  SASB Supply Chain Management,
  Cyber Crime,
  SASB Materials Sourcing & Efficiency,
  Supply Chain,
  SASB Data Security,
  Lawsuit,
  SASB Management of the Legal & Regulatory Environment
",0.294118,0.178989157,0.064200036,0.21344696,0.911452472,0.731280863,0.598305525
Morgan Stanley International Holdings Inc,3,Marathon Petroleum Corp,2/26/22,Protest,"
  Oil,
  Supply Chain,
  Employee Relations,
  SASB Materials Sourcing & Efficiency
",0.176471,0.214790002,-0.004907625,0.785207152,0.726340652,0.906038463,0.600958195
Alphabet Inc,3,Deutsche Bank,1/31/22,Investigation,"
  Merger and Acquisition,
  Banking
",0.235294,0.047988888,-0.204825953,-0.422824383,0.721562028,0.841005147,0.584560823
Morgan Stanley International Holdings Inc,1,Sandp Global Inc,2/18/22,Sanctions,"
  Gov and Politics,
  Merger and Acquisition,
  Joint Venture / Parthership
",0.058824,0.266394347,-0.173281968,0,0.54086107,0.603488743,0.597267348
Goldman Sachs Group Inc,1,Baidu Inc,1/31/22,Breach,"
  Banking
",0.176471,-0.104522221,-0.188314363,-0.478743583,0.759725571,0.762659729,0.512302636
Goldman Sachs Group Inc,3,Western Union Company,2/16/22,Sanctions,"
  Gov and Politics,
  Presidential Transition
",0.058824,0.069060609,-0.350360602,,0.685989559,0.759173572,0.545171037
Microsoft Corp,2,Pfizer Inc,1/23/22,Setback,"
  Profit Warning,
  Analyst Downgrade,
  Earnings,
  Dividend,
  SASB Systemic Risk Management
",0.235294,0.215959087,0.248811096,0.116550207,0.968042493,0.88867861,0.497802334
Goldman Sachs Group Inc,1,Baidu Inc,1/27/22,Investigation,"
  Banking
",0.058824,-0.074438095,-0.188314363,-0.478743583,0.759725571,0.762659729,0.502370931
Goldman Sachs Group Inc,1,Baidu Inc,1/27/22,Breach,"
  Banking
",0.058824,-0.074438095,-0.188314363,-0.478743583,0.759725571,0.762659729,0.502370931
Alphabet Inc,1,Baidu Inc,1/27/22,Breach,"
  Banking
",0.058824,-0.074438095,-0.188314363,-0.478743583,0.759725571,0.762659729,0.502370931
Goldman Sachs Group Inc,1,Bright Health Inc,1/13/22,Investigation,"
  IPO ICO,
  Coronavirus
",0,0.142946154,-0.127441257,-0.528257549,0.78559953,0.967662215,0.790389251
Goldman Sachs Group Inc,1,Natera Inc,1/4/22,Investigation,"
  Lawsuit
",0,0.218968749,-0.179588467,-0.484629631,0.622590065,0.792574704,0.597121221
Pepsico Inc,1,Moodys Corp /De/,2/18/22,Fraud,"
  Analyst Downgrade,
  Banking,
  Corporate Restructuring,
  SASB Materials Sourcing & Efficiency,
  Credit Change,
  Liquidity,
  Supply Chain
",0.176471,0.175421566,-0.214234993,0.242453396,0.874334693,0.578317761,0.805345904
Alphabet Inc,1,Sandp Global Inc,3/31/22,Disruption,"
  Oil
",0.3,-0.081461765,-0.230998054,,0.546553016,0.542262256,0.597918979
Alphabet Inc,2,Sunpower Corp,3/22/22,Corporate Fraud,"
  Lawsuit
",0.176471,0.021079311,-0.178187862,-0.466447115,0.829337537,0.94846791,0.502469272
Goldman Sachs Group Inc,3,Gt Biopharma Inc,3/9/22,Investigation,"
  Cancer
",0.117647,-0.027714705,0.253709704,0,0.612996578,0.870990932,0.597487736
Pepsico Inc,1,Merck And Co Inc,2/4/22,Dispute,"
  Cyber Security,
  Cyber Crime
",0.058824,-0.233565629,-0.180671066,,0.80642736,0.903006077,0.482871151
Morgan Stanley International Holdings Inc,3,Bank Of New York Mellon Corp,1/13/22,Litigation,"
  Earnings,
  Banking,
  Cybercurrency,
  Blockchain
",0.176471,0.215601727,0.135574996,,0.724662066,0.789097428,0.50860238
Goldman Sachs Group Inc,2,Moodys Corp /De/,3/3/22,Sanctions,"
  Sanctions
",0.294118,-0.276560009,-0.468962789,-0.828613877,0.563060403,0.639502764,0.591271632
Morgan Stanley International Holdings Inc,1,Moodys Corp /De/,3/3/22,Disruption,"
  Sanctions
",0.294118,-0.276560009,-0.468962789,-0.828613877,0.563060403,0.639502764,0.591271632
Coca-Cola Company,1,Moodys Corp /De/,2/12/22,Fraud,"
  Credit Change,
  SASB Materials Sourcing & Efficiency,
  Supply Chain,
  Earnings
",0.294118,0.17927143,-0.222737655,0.127304524,0.796465337,0.617852151,0.781064892
Goldman Sachs Group Inc,1,Robinhood Markets Inc,2/1/22,Investigation,"
  IPO ICO
",0.235294,0.133551508,-0.248334646,-0.719491065,0.859453976,0.969397366,0.572403923
Coca-Cola Company,1,Facebook Inc,3/20/22,Litigation,"
  Cybercurrency,
  Blockchain
",0.058824,-0.171010718,-0.012728586,,0.869109273,0.770707011,0.510144405
Alphabet Inc,1,Facebook Inc,3/20/22,Litigation,"
  Cybercurrency,
  Blockchain
",0.058824,-0.171010718,-0.012728586,,0.869109273,0.770707011,0.510144405
Microsoft Corp,2,Solarwinds Inc,1/25/22,Breach,"
  Cyber Crime,
  Government,
  Presidential Transition
",0.176471,0.098481581,-0.283988565,0,0.908057928,0.820193172,0.475147084
Coca-Cola Company,1,Nestle Sa Cham Et Ve,1/10/22,Disruption,"
  Merger and Acquisition,
  Automotive Industry,
  SASB GHG Emissions,
  Dividend,
  Earnings
",0.235294,0.281228036,0.261831909,0.637649775,0.974554241,0.786957324,0.501053292
Alphabet Inc,2,Sunpower Corp,2/11/22,Investigation,"
  IPO ICO
",0,0.051991489,-0.257561624,0,0.87070775,0.822078109,0.599158162
Microsoft Corp,2,Pfizer Inc,1/6/22,Disruption,"
  Coronavirus,
  Climate Change,
  Automotive Industry
",0.058824,0.049845453,0.124604188,0,0.726703942,0.901052952,0.542075679
Alphabet Inc,2,Sunpower Corp,2/19/22,Litigation,"
  Lawsuit
",0.058824,-0.06769149,-0.006997577,-0.698471308,0.830054462,0.828523159,0.50667607
Pepsico Inc,1,Moodys Corp /De/,1/19/22,Fraud,"
  Payment Default,
  Debt Offering,
  Credit Change,
  Default
",0.294118,0.167588964,-0.292463213,0,0.671623886,0.505112231,0.825382043
Morgan Stanley International Holdings Inc,1,Moodys Corp /De/,1/6/22,Downgrade,"
  Credit Change,
  Default,
  Analyst Downgrade,
  Banking
",0.235294,0.130602255,-0.28617698,0.085172094,0.731457353,0.623768985,0.612331939
Coca-Cola Company,1,Nestle Sa Cham Et Ve,1/16/22,Breach,"
  Cyber Security,
  Cyber Crime
",0.058824,0.136984214,0.199567944,,0.735582173,0.642376244,0.503613983
Alphabet Inc,3,Sunpower Corp,2/25/22,Litigation,"
  Lawsuit
",0.176471,0.081644684,-0.20290561,-0.253722519,0.752203047,0.665276349,0.510066435
Goldman Sachs Group Inc,1,Morgan Stanley International Holdings Inc,3/12/22,Sanctions,"
  Sanctions,
  Banking,
  Climate Change
",0.176471,-0.042817857,-0.080928333,,0.73388654,0.662286341,0.600091709
Microsoft Corp,1,Red Hat Inc,3/10/22,Sanctions,"
  Supply Chain
",0.058824,0.10664583,-0.017354,0.776951313,0.700124204,0.948767483,0.470431686
Microsoft Corp,2,Dell Inc,3/23/22,Investigation,"
  Supply Chain,
  Coronavirus
",0.176471,0.163774565,0.307658345,,0.550220847,0.607735813,0.601583431
Goldman Sachs Group Inc,2,Opko Health Inc,2/15/22,Clinical Trial,"
  Analyst Downgrade,
  Drugs,
  Conference / Speech / Trade Show,
  Spinoff,
  Merger and Acquisition,
  Cancer,
  SASB Competitive Behavior
",0,0.131187081,,,0.556685805,0.608937919,0.616253591
Coca-Cola Company,1,Deutsche Bank,2/10/22,Investigation,"
  Banking
",0.235294,-0.130930007,-0.293031037,-0.749934256,0.547101498,0.613233566,0.502236293
Morgan Stanley International Holdings Inc,1,Deutsche Bank,2/10/22,Investigation,"
  Banking
",0.235294,-0.130930007,-0.293031037,-0.749934256,0.547101498,0.613233566,0.502236293
Goldman Sachs Group Inc,3,Chemocentryx Inc,2/18/22,Investigation,"
  Lawsuit
",0,0.058282353,-0.332313597,-0.297100276,0.741158485,0.944903493,0.511814316
Goldman Sachs Group Inc,2,Msci Inc,2/26/22,Sanctions,"
  Economic Activity,
  Oil
",0.117647,-0.165856257,-0.339956939,,0.794483483,0.743567944,0.502897505
Goldman Sachs Group Inc,2,Sprint Corp,3/31/22,Setback,"
  Banking
",0.033333,0.195016667,0.139120325,0,0.768079817,0.764096141,0.520806861
Alphabet Inc,2,Warner Media Llc,2/9/22,Investigation,"
  Gov and Politics,
  SASB Business Ethics
",0.117647,-0.223692417,-0.296197444,,0.662554622,0.510428369,0.499535344
Morgan Stanley International Holdings Inc,1,Moodys Corp /De/,2/8/22,Bankruptcy,"
  Liquidity,
  Corporate Restructuring,
  Coronavirus,
  Credit Change,
  Default,
  Analyst Downgrade,
  Bankruptcy,
  Payment Default
",0.294118,0.121214904,-0.325446397,-0.060445156,0.709380388,0.607388258,0.776636458
Coca-Cola Company,1,Altria Group,2/17/22,Disruption,"
  Coronavirus,
  SASB Materials Sourcing & Efficiency
",0.176471,0.198317572,0.283364624,0.062174451,0.717324018,0.844728947,0.597489068
Microsoft Corp,2,Pfizer Inc,1/28/22,Clinical Trial,"
  Coronavirus
",0.294118,-0.082223132,0.145182773,,0.808824718,0.605314314,0.599652432
Microsoft Corp,1,Activision Blizzard,1/21/22,Investigation,"
  Harassment
",0.058824,0.001664286,-0.207396358,-0.876025796,0.66252929,0.925977826,0.560575258
Microsoft Corp,3,Altria Group,3/11/22,Wire Fraud,"
  Fraud,
  SASB Business Ethics,
  Taxation,
  Sanctions,
  SASB Competitive Behavior,
  Merger and Acquisition,
  Lawsuit
",0.235294,-0.011002222,-0.256807864,,0.728936613,0.628382325,0.597326775
Morgan Stanley International Holdings Inc,3,Verizon Communications Inc,1/29/22,Dispute,"
  Aviation
",0.058824,0.014559091,-0.092148565,,0.732118547,0.874896824,0.594986786
Goldman Sachs Group Inc,2,Aptiv Plc,3/8/22,Investigation,"
  Coronavirus,
  SASB Supply Chain Management
",0.235294,0.112008773,-0.261202216,,0.740998268,0.670964599,0.58541262
Microsoft Corp,1,Activision Blizzard,1/21/22,Investigation,"
  Lawsuit,
  Merger and Acquisition,
  SASB Labor Practices,
  Employee Relations,
  Labor Violations,
  Harassment,
  SASB Employee Engagement, Diversity & Inclusion
",0.058824,0.112797678,-0.160433933,0.260860384,0.901611924,0.876271904,0.499788879
Goldman Sachs Group Inc,1,Credit Suisse Group,2/20/22,Tax Evasion,"
  Money Laundering,
  Banking
",0.294118,-0.082165219,-0.212955236,,0.828120947,0.93737942,0.601676381
Goldman Sachs Group Inc,1,Credit Suisse Group,2/20/22,Money Laundering,"
  Drugs,
  Banking,
  Money Laundering
",0.058824,-0.290499985,-0.222886994,-0.837456346,0.826787531,0.943068624,0.458636613
Alphabet Inc,1,Yandex Nv,3/16/22,Sanctions,"
  Sanctions
",0,-0.024125001,-0.055858415,0,0.781911612,0.974702418,0.498832595
Goldman Sachs Group Inc,3,Discover Financial Services,1/13/22,Investigation,"
  Lawsuit
",0.058824,0.030347619,-0.233105198,-0.744259,0.616880298,0.769527614,0.593094427
Morgan Stanley International Holdings Inc,2,Franklin Resources Inc,1/11/22,Disruption,"
  Merger and Acquisition,
  SASB Business Ethics,
  SASB Systemic Risk Management,
  SASB Competitive Behavior,
  Coronavirus
",0.058824,-0.011043103,0.082549937,-0.104525015,0.775359273,0.719431221,0.503217999
Microsoft Corp,1,Linkedin Corp,2/7/22,Ransomware Attack,"
  Cyber Security,
  Cyber Crime
",0.117647,0.049207691,0.149923086,,0.843628466,0.923938096,0.589945926
Pepsico Inc,3,Deutsche Bank,1/27/22,Manipulation,"
  Banking
",0.176471,-0.19848077,-0.166418463,,0.817570269,0.827240407,0.51129421
Microsoft Corp,2,Moodys Corp /De/,2/26/22,Dispute,"
  Default,
  Payment Default,
  Coronavirus,
  Credit Change,
  SASB Supply Chain Management,
  SASB Management of the Legal & Regulatory Environment
",0.176471,0.121926047,-0.318807214,-0.066800192,0.763559699,0.530261278,0.776636458
Pepsico Inc,1,Morgan Stanley International Holdings Inc,3/20/22,Investigation,"
  Banking,
  Money Laundering
",0.294118,0.071297564,-0.209520653,0,0.723962545,0.685780227,0.510320562
Coca-Cola Company,2,Facebook Inc,3/18/22,Investigation,"
  Cyber Security,
  Blockchain,
  Cybercurrency,
  Lawsuit
",0.058824,-0.000915625,-0.376095146,,0.757294178,0.725127101,0.509683222
Pepsico Inc,2,Facebook Inc,3/18/22,Investigation,"
  Cyber Security,
  Blockchain,
  Cybercurrency,
  Lawsuit
",0.058824,-0.000915625,-0.376095146,,0.757294178,0.725127101,0.509683222
Coca-Cola Company,1,Nestle Sa Cham Et Ve,2/7/22,Breach,"
  Cyber Security,
  Cyber Crime
",0.058824,0.136984214,0.199567944,,0.735582173,0.642376244,0.503613983
Goldman Sachs Group Inc,1,Berkshire Hathaway Inc,1/3/22,Dispute,"
  Employee Relations,
  SASB Labor Practices
",0.235294,0.166370213,0.05685309,-0.931379735,0.663477063,0.817685604,0.582639527
Microsoft Corp,1,Amex Global Holdings Cv,3/6/22,Sanctions,"
  Banking
",0.117647,-0.18037647,-0.295923531,-0.891204834,0.787290692,0.952828526,0.569526275
Pepsico Inc,2,Vanguard Group,2/27/22,Shutdown,"
  Coronavirus
",0.235294,0.062869228,0.296504468,,0.753022254,0.749904037,0.483334497
Alphabet Inc,3,Corelogic,1/26/22,Investigation,"
  Fraud
",0.058824,-0.385147363,0.091810122,0,0.761450112,0.807551444,0.496525015
Pepsico Inc,1,General Electric Company,2/19/22,Investigation,"
  Aviation
",0.176471,0.101451911,-0.272150308,,0.684114337,0.625494182,0.494118235
Alphabet Inc,1,Linkedin Corp,3/27/22,Investigation,"
  Supply Chain,
  Artificial Intelligence,
  SASB Materials Sourcing & Efficiency
",0.033333,0.030654939,-0.134293899,0.240435287,0.966043115,0.807959557,0.498067834
Alphabet Inc,3,Symantec Corp,1/22/22,Investigation,"
  SASB Competitive Behavior,
  Supply Chain,
  SASB Materials Sourcing & Efficiency,
  Coronavirus
",0.176471,0.17093505,0.36648044,,0.616215885,0.617720366,0.574446193
Coca-Cola Company,2,Home Depot Inc,1/6/22,Litigation,"
  Banking,
  Cyber Crime
",0.117647,0.15305455,-0.346311361,,0.758195102,0.958802342,0.508823458
Goldman Sachs Group Inc,3,Glaxosmithkline Plc,2/3/22,Clinical Trial,"
  Coronavirus
",0.058824,-0.006804082,0.165418953,,0.634495556,0.777770221,0.598539807
Microsoft Corp,1,Hewlett Packard Enterprise Comp,1/28/22,Fraud,"
  Fraud,
  Lawsuit
",0.117647,-0.144306451,-0.116571195,-0.223845541,0.858977437,0.924943388,0.543426364
Goldman Sachs Group Inc,1,Snap Inc,1/22/22,Investigation,"
  Lawsuit
",0.176471,-0.077343479,-0.049873296,,0.795408785,0.766564965,0.510727551
Pepsico Inc,2,Facebook Inc,2/6/22,Disruption,"
  Earnings
",0.058824,0.073210001,0.049538527,0,0.822898209,0.821378052,0.557909513
Morgan Stanley International Holdings Inc,1,Sandp Global Inc,3/21/22,Investigation,"
  Merger and Acquisition
",0,-0.072001301,-0.326449156,0,0.792200983,0.608683169,0.573465424
Pepsico Inc,2,Visa Inc,3/6/22,International Sanction,"
  Banking
",0,-0.0482,-0.150649682,-0.843508482,0.74189204,0.947994471,0.50787315
Microsoft Corp,3,Altice,3/17/22,Dispute,"
  Telecom
",0.058824,0.266579986,-0.153829634,,0.628673315,0.892415226,0.477313162
Alphabet Inc,1,Facebook Inc,2/6/22,Disruption,"
  Earnings
",0.058824,0.073210001,0.049538527,0,0.822898209,0.821378052,0.557909513
Microsoft Corp,3,Sunpower Corp,3/11/22,Fraud,"
  Lawsuit
",0.235294,-0.108853333,-0.188212261,-0.764418066,0.622816563,0.85019654,0.567974973
Coca-Cola Company,1,Banco Santander Sa,1/25/22,Dispute,"
  Blockchain,
  Fintech,
  Banking,
  Cybercurrency
",0.235294,0.177224994,-0.024369253,0,0.716716826,0.939980686,0.589587208
Pepsico Inc,2,Nasdaq Inc,1/2/22,Store Closure,"
  Store Closure,
  Supply Chain,
  Coronavirus,
  SASB Materials Sourcing & Efficiency
",0.176471,-0.000545588,0.482022792,,0.724544525,0.637044013,0.5459172
Microsoft Corp,1,Equity Bancshares Inc,2/18/22,Breach,"
  Cyber Security,
  Theft of Information,
  Cyber Crime,
  Fraud
",0,0.288817465,-0.294682652,-0.312762111,0.649740279,0.723449707,0.500673531
Goldman Sachs Group Inc,1,Reata Pharmaceuticals Inc,1/17/22,Litigation,"
  SASB Materials Sourcing & Efficiency,
  Lawsuit
",0.235294,0.012307692,-0.224784046,,0.782960713,0.712483168,0.579797764
Microsoft Corp,1,Google,1/19/22,Disruption,"
  Joint Venture / Parthership
",0.058824,-0.142155007,-0.215219483,-0.698525548,0.884573102,0.961021781,0.507623786
Goldman Sachs Group Inc,1,Sandp Global Inc,2/18/22,Breach,"
  Gov and Politics,
  Merger and Acquisition,
  Joint Venture / Parthership
",0.117647,0.266394347,-0.173281968,0,0.54086107,0.603488743,0.597267348
Pepsico Inc,3,Merck And Co Inc,1/29/22,Clinical Trial,"
  Coronavirus
",0.235294,0.183905557,-0.092576586,,0.714721203,0.909031093,0.458256938
Coca-Cola Company,1,Facebook Inc,3/2/22,Shutdown,"
  Education,
  Coronavirus
",0.058824,0.167208329,-0.152209461,0,0.840221107,0.950792968,0.505547262
Goldman Sachs Group Inc,1,Robinhood Markets Inc,2/10/22,Investigation,"
  Fraud,
  Money Laundering
",0.176471,-0.073983334,-0.188842788,,0.846541524,0.971566379,0.507160713
Morgan Stanley International Holdings Inc,2,Enbridge Inc,1/8/22,Protest,"
  Oil
",0,-0.113468751,-0.254980862,-0.366693944,0.806337655,0.835502386,0.506932338
Morgan Stanley International Holdings Inc,2,Metlife Inc,2/18/22,Investigation,"
  SASB Systemic Risk Management,
  Merger and Acquisition,
  Credit Change,
  Dividend,
  Payment Default,
  Liquidity,
  Earnings,
  Default
",0.235294,0.216778442,,,0.975050628,0.629960775,0.525883277
Morgan Stanley International Holdings Inc,2,Metlife Inc,2/18/22,Fraud,"
  SASB Systemic Risk Management,
  Merger and Acquisition,
  Credit Change,
  Dividend,
  Payment Default,
  Liquidity,
  Earnings,
  Default
",0.235294,0.216778442,,,0.975050628,0.629960775,0.525883277
Coca-Cola Company,3,Hp Inc,1/28/22,Wire Fraud,"
  Lawsuit,
  Fraud
",0.176471,-0.341584623,-0.2437841,-0.583382666,0.847363174,0.961014748,0.601766469
Coca-Cola Company,2,Visa Inc,3/5/22,Sanctions,"
  Banking
",0.235294,-0.087306663,-0.145232484,,0.825469613,0.955960393,0.506764077
Morgan Stanley International Holdings Inc,1,State Street Corp,3/16/22,Investigation,"
  Money Laundering,
  Banking
",0.294118,0.054448146,-0.259192079,-0.82284379,0.770067453,0.711087763,0.576999666
