"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Goldman Sachs Group Inc,3,Bridgebio Pharma Llc,Fibrocell Science,"[
  ""Clinical Trial""
]",759
Goldman Sachs Group Inc,3,Blackberry Ltd,Mcafee Inc,"[
  ""Investigation""
]",5624
Goldman Sachs Group Inc,3,Servicenow Inc,Bmc Software Inc,"[
  ""Litigation""
]",354
Alphabet Inc,3,Fortress Biotech Inc,Mustang Bio Inc,"[
  ""Clinical Trial""
]",148
Coca-Cola Company,3,Advanced Micro Devices Inc,Kodiak Sciences Inc,"[
  ""Clinical Trial""
]",124
Coca-Cola Company,3,Entergy Corp,Entergy Arkansas Inc,"[
  ""Investigation""
]",5530
Coca-Cola Company,3,Occidental Petroleum Corp,Sanchez Energy Corp,"[
  ""Reorganization""
]",256
Coca-Cola Company,2,Intercontinental Exchange,Novartis Ag,"[
  ""Investigation""
]",1
Coca-Cola Company,2,Hsbc Holdings Plc,Bank Of China Ltd Ad,"[
  ""Sanctions""
]",1
Coca-Cola Company,3,Ebay Inc,Tiffany And Co,"[
  ""Litigation""
]",432
Coca-Cola Company,3,Athersys Inc / New,Mesoblast Ltd,"[
  ""Clinical Trial""
]",308
Coca-Cola Company,3,Jp Morgan Chase And Co,Fresh Market Inc,"[
  ""Breach""
]",1179
Coca-Cola Company,3,Altria Group,American Airlines Group Inc,"[
  ""Bankruptcy""
]",12191960
Pepsico Inc,3,Thomson Reuters Corp,Toyota Motor Corp,"[
  ""Disruption""
]",6732
Coca-Cola Company,3,Ra Pharmaceuticals Inc,Capstead Mortgage Corp,"[
  ""Clinical Trial""
]",30015
Pepsico Inc,3,Ultra Petroleum Corp,Tallgrass Energy Gp Lp,"[
  ""Breach""
]",47976
Pepsico Inc,3,Sony Corp,Rizal Commercial Banking Corporation,"[
  ""Money Laundering""
]",692
Pepsico Inc,3,Aimmune Therapeutics Inc,Dbv Technologies Ads,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",267
Pepsico Inc,3,Mcdermott Inc,Brookfield Dtla Fund Office Trust Investor Inc,"[
  ""Bankruptcy""
]",40
Pepsico Inc,3,Rigel Pharmaceuticals Inc,Aclaris Therapeutics Inc,"[
  ""Clinical Trial""
]",3296
Pepsico Inc,3,Fibrogen Inc,3sbio Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",430
Pepsico Inc,3,Radian Group Inc,Nationstar Mortgage Holdings Inc,"[
  ""Breach Of Contract""
]",396
Pepsico Inc,3,Exact Sciences Corp,Guardant Health Inc,"[
  ""Clinical Trial""
]",1455
Pepsico Inc,3,Gol Linhas Aereas Inteligentes Sa,Avianca Holdings Sa,"[
  ""Bankruptcy Protection""
]",22916
Microsoft Corp,3,Dish Network Corp,Realnetworks Inc,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",320
Alphabet Inc,2,Google,Twitter Inc,"[
  ""Hacking""
]",1
Microsoft Corp,3,Nasdaq Inc,Carrols Restaurant Group Inc,"[
  ""Breach""
]",4116
Alphabet Inc,2,Oracle Corp,Hp Inc,"[
  ""Breach""
]",200772
Microsoft Corp,3,Blueprint Medicines Corp,Stemline Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",40
Pepsico Inc,3,Aptevo Therapeutics Inc,Macrogenics Inc,"[
  ""Clinical Trial""
]",1908
Coca-Cola Company,3,Boeing Company,Airbus Group Se,"[
  ""Dispute""
]",684
Pepsico Inc,2,United States Steel Corp,Family Dollar Stores Inc,"[
  ""Investigation""
]",330
Pepsico Inc,3,Rigel Pharmaceuticals Inc,Compellent Technologies Inc,"[
  ""Clinical Trial""
]",1610
Pepsico Inc,3,Mannkind Corp,United Therapeutics Corp,"[
  ""Bankruptcy""
]",436
Microsoft Corp,3,Ubs Group Ag,Dmg Blockchain Solutions Inc,"[
  ""Fraud""
]",1508
Microsoft Corp,2,Linkedin Corp,Kamada Ltd,"[
  ""Investigation""
]",1
Microsoft Corp,3,Mylan Nv,Medicis Pharmaceutical Corp,"[
  ""Investigation"",
  ""Investigation""
]",180
Microsoft Corp,2,Nasdaq Inc,Nextera Energy,"[
  ""Bankruptcy""
]",1
Pepsico Inc,2,Bank Of America Corp,Blackberry Ltd,"[
  ""Hacking""
]",1
Coca-Cola Company,3,Gilead Sciences Inc,Scholar Rock Holding Corp,"[
  ""Clinical Trial""
]",572
Microsoft Corp,3,Avon Products Inc,Smart Technologies Inc,"[
  ""Investigation""
]",237
Microsoft Corp,3,Halliburton Company,Kbr Inc,"[
  ""Fraud""
]",52116
Alphabet Inc,3,Credit Suisse Group,Ironwood Pharmaceuticals Inc,"[
  ""Research""
]",3660
Alphabet Inc,3,Adaptive Biotechnologies Corp,10x Genomics Inc,"[
  ""Clinical Trial""
]",16
Jp Morgan Chase And Co,3,Syros Pharmaceuticals,Onconova Therapeutics Inc,"[
  ""Clinical Trial""
]",1825
Pepsico Inc,2,Citigroup Inc,Ubs Group Ag,"[
  ""Fraud""
]",86401
Goldman Sachs Group Inc,3,Jernigan Capital Inc,Yintech Investment Holdings Ltd,"[
  ""Breach""
]",8640
Morgan Stanley International Holdings Inc,3,Huntsman Corp,Rockwood Holdings Inc,"[
  ""Breach Of Contract""
]",48
Morgan Stanley International Holdings Inc,3,Deluxe Corp,First American Financial Corp,"[
  ""Investigation""
]",5876
Alphabet Inc,3,Sunpower Corp,Au Optronics Corp,"[
  ""Breach""
]",1120
Alphabet Inc,2,Intercontinental Exchange,Kirby Corp,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Cardinal Health Inc,Virtusa Corp,"[
  ""Disruption""
]",363
Jp Morgan Chase And Co,3,Southern Co Gas,Xl Group Ltd,"[
  ""Breach Of Contract""
]",11636
Microsoft Corp,3,Proassurance Corp,Solarwinds Inc,"[
  ""Data Breach""
]",8560
Alphabet Inc,2,Google,Criteo Ltd,"[
  ""Disruption""
]",1
Jp Morgan Chase And Co,3,United States Steel Corp,Physicians Realty Trust,"[
  ""Investigation""
]",2461
Alphabet Inc,3,Aes Corp,Ypf Sociedad Anonima,"[
  ""Breach""
]",13210
Jp Morgan Chase And Co,3,Aldeyra Therapeutics Inc,Cae Inc,"[
  ""Clinical Trial""
]",108
Goldman Sachs Group Inc,3,Cel Sci Corp,Syneos Health Inc,"[
  ""Clinical Trial""
]",41415
Goldman Sachs Group Inc,3,Integer Holdings Corp,Avx Corp,"[
  ""Litigation"",
  ""Litigation""
]",1676
Morgan Stanley International Holdings Inc,3,Xylem Inc,Harris Corp,"[
  ""Breach""
]",228
Goldman Sachs Group Inc,3,Softbank Group Corp,Wirecard Ag,"[
  ""Fraud""
]",6120
Morgan Stanley International Holdings Inc,3,Bank Of America Corp,Boohoocom Plc,"[
  ""Investigation""
]",3664
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Mylan Nv,"[
  ""Breach Of Contract""
]",1
Goldman Sachs Group Inc,3,Best Buy Co Inc,Brookdale Senior Living Inc,"[
  ""Dispute""
]",19044
Morgan Stanley International Holdings Inc,3,Euronext Nv,Transgene Sa,"[
  ""Clinical Trial""
]",1470
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Essa Pharma,"[
  ""Clinical Trial""
]",936
Goldman Sachs Group Inc,3,Sony Corp,Anthem Inc,"[
  ""Data Breach""
]",4450456
Goldman Sachs Group Inc,3,Sandridge Energy Inc,Sandridge Mississippian Trust Ii,"[
  ""Investigation"",
  ""Removal""
]",250
Morgan Stanley International Holdings Inc,3,Google,Criteo Ltd,"[
  ""Disruption""
]",540
Morgan Stanley International Holdings Inc,3,Emergent Biosolutions,Teva Pharmaceutical Industries Ltd,"[
  ""Litigation""
]",267936
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Inmune Bio Inc,"[
  ""Clinical Trial""
]",264
Morgan Stanley International Holdings Inc,3,Acceleron Pharma Inc,Keros Therapeutics Inc,"[
  ""Clinical Trial""
]",6
Jp Morgan Chase And Co,3,Nasdaq Inc,World Acceptance Cp,"[
  ""Investigation""
]",8118
Pepsico Inc,3,Ambarella Inc,Sony Corp,"[
  ""Disruption""
]",41820
Alphabet Inc,3,Mastercard Inc,Global Payments Inc,"[
  ""Breach""
]",1380
Coca-Cola Company,3,State Street Corp,Endurance International Group Holdings Inc,"[
  ""Investigation""
]",312
Coca-Cola Company,3,Thomson Reuters Corp,Crrc Corp Ltd,"[
  ""Sanctions""
]",1694
Coca-Cola Company,2,Intercontinental Exchange,Novagold Resources Inc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,Venator Materials Plc,Sika Ag,"[
  ""Removal""
]",32
Pepsico Inc,2,Barclays Plc,Ucb Sa,"[
  ""Research""
]",1
Pepsico Inc,1,Pepsico Inc,Sandp Global Inc,"[
  ""Litigation""
]",2925
Pepsico Inc,2,Intercontinental Exchange,Energy Transfer Lp  1,"[
  ""Investigation""
]",1
Pepsico Inc,2,Nasdaq Inc,Cymabay Therapeutics,"[
  ""Investigation""
]",1
Pepsico Inc,3,Sage Therapeutics Inc,Shionogi And Co Ltd,"[
  ""Clinical Trial""
]",60
Microsoft Corp,3,Blueprint Medicines Corp,Mirati Therapeutics,"[
  ""Clinical Trial""
]",52
Alphabet Inc,3,Gevo Inc,Delta Air Lines Inc,"[
  ""Disruption""
]",81420
Alphabet Inc,3,Ani Pharmaceuticals Inc,High Income Long Short Fund,"[
  ""Clinical Trial""
]",50
Alphabet Inc,2,Google,Nec Corp,"[
  ""Investigation""
]",1
Alphabet Inc,3,Xencor Inc,Morphosys Ag,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",6500
Alphabet Inc,3,3m Company,Valero Energy Corp/Tx,"[
  ""Litigation"",
  ""Litigation""
]",15778
Microsoft Corp,2,Uber Technologies Inc,Tesla Inc,"[
  ""Fraud""
]",1
Alphabet Inc,3,Plug Power Inc,Hyster-Yale Materials Handling Inc,"[
  ""Breach""
]",336
Microsoft Corp,3,Amyris Inc,Givaudan Sa,"[
  ""Research""
]",64
Alphabet Inc,3,Brookfield Property Reit Inc,Howard Hughes Corp,"[
  ""Bankruptcy""
]",786
Alphabet Inc,3,Realogy Holdings Corp,Re/Max Holdings Inc,"[
  ""Litigation""
]",96
Alphabet Inc,3,Regulus Therapeutics,Hera Ltd,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",10925
Alphabet Inc,3,Ra Pharmaceuticals Inc,Line Corp,"[
  ""Clinical Trial""
]",1800
Alphabet Inc,3,Canadian Pacific Railway Ltd/Cn,Postmedia Network Canada,"[
  ""Bankruptcy""
]",144
Pepsico Inc,3,Moodys Corp /De/,First Hawaiian Inc,"[
  ""Disruption""
]",702
Pepsico Inc,2,Intercontinental Exchange,Rockwell Collins Inc,"[
  ""Breach Of Contract""
]",1
Pepsico Inc,3,Voyager Therapeutics Inc,Neurocrine Biosciences Inc,"[
  ""Clinical Trial""
]",10250
Coca-Cola Company,3,Nasdaq Inc,Qutoutiao Inc,"[
  ""Investigation""
]",12240
Coca-Cola Company,3,Autoliv Inc,Takata Corp,"[
  ""Bankruptcy Protection"",
  ""Bankruptcy Protection""
]",240
Coca-Cola Company,3,Leidos Holdings Inc,City Bank,"[
  ""Investigation""
]",52
Pepsico Inc,3,Getty Realty Corp,Lithium Americas Corp,"[
  ""Reorganization""
]",26940
Pepsico Inc,3,Soligenix Inc,Acadia Healthcare Company Inc,"[
  ""Clinical Trial""
]",8244
Pepsico Inc,3,National Health Investors Inc,American Spectrum Realty Inc,"[
  ""Reorganization""
]",705
Microsoft Corp,3,Alliance Data Systems Corp,Wyndham Hotels And Resorts Inc,"[
  ""Bankruptcy""
]",234
Microsoft Corp,3,Jc Penney,Libbey Inc,"[
  ""Bankruptcy""
]",128
Pepsico Inc,3,Hershey Co,Stonegate Mortgage Corp,"[
  ""Investigation""
]",15388
Microsoft Corp,3,Euronext Nv,Transgene Sa,"[
  ""Clinical Trial""
]",2850
Microsoft Corp,3,Hms Holdings Corp,Performant Financial Corp,"[
  ""Fraud"",
  ""Fraud""
]",24
Pepsico Inc,3,Fifth Third Bancorp,Abiomed Inc,"[
  ""Research""
]",2114
Pepsico Inc,2,Nasdaq Inc,Vaxart Inc,"[
  ""Investigation""
]",1
Alphabet Inc,2,Nasdaq Inc,Arrow Electronics Inc,"[
  ""Litigation""
]",1
Alphabet Inc,3,Acelrx Pharmaceuticals Inc,Heron Therapeutics Inc. /De/,"[
  ""Clinical Trial""
]",660
Alphabet Inc,3,Pgande Corp,Sed International Holdings Inc,"[
  ""Investigation"",
  ""Investigation""
]",42960
Jp Morgan Chase And Co,3,Twitter Inc,Kandi Technologies Group Inc,"[
  ""Research""
]",8035
Jp Morgan Chase And Co,3,Blueprint Medicines Corp,Exelixis Inc,"[
  ""Clinical Trial""
]",57735
Jp Morgan Chase And Co,3,Advanced Micro Devices Inc,Aib Group Plc,"[
  ""Interruption""
]",9636
Microsoft Corp,3,Avangrid Inc,Superior Offshore International Inc,"[
  ""Investigation""
]",1368
Pepsico Inc,3,Trevena Inc,Cytokinetics Inc,"[
  ""Clinical Trial""
]",5376
Microsoft Corp,3,Editas Medicine,Proqr Therapeutics,"[
  ""Clinical Trial""
]",2640
Alphabet Inc,3,Amc Entertainment Inc,Cinemark Holdings Inc,"[
  ""Disruption""
]",484
Goldman Sachs Group Inc,3,Sangamo Therapeutics Inc,Global Partners Lp,"[
  ""Investigation""
]",7956
Goldman Sachs Group Inc,3,Dxc Technology Company,Kemper Corp,"[
  ""Breach Of Contract""
]",69048
Morgan Stanley International Holdings Inc,3,Valeant Pharmaceuticals International Inc,Cannabis Capital Corp,"[
  ""Reorganization""
]",5829
Alphabet Inc,3,Advanced Micro Devices Inc,Quarterhill Inc,"[
  ""Litigation""
]",330
Microsoft Corp,3,Anacor Pharmaceuticals Inc,Dr Pepper Snapple Group Inc,"[
  ""Dispute""
]",66059
Microsoft Corp,3,Nasdaq Inc,Cue Biopharma Inc,"[
  ""Clinical Trial""
]",168
Microsoft Corp,3,Pnc Financial Services Group Inc,Eyegate Pharmaceuticals Inc,"[
  ""Money Laundering""
]",2562
Alphabet Inc,2,Google,Big Lots Inc,"[
  ""Bankruptcy""
]",1
Jp Morgan Chase And Co,3,Spire Corp,Pandora Media Inc,"[
  ""Breach Of Contract""
]",52
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Propetro Holding Corp,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,2,Uber Technologies Inc,American Airlines Group Inc,"[
  ""Setback""
]",1
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Snap Inc,"[
  ""Protest""
]",1
Alphabet Inc,3,Anaptysbio Inc,Amgen Inc,"[
  ""Clinical Trial""
]",582576
Jp Morgan Chase And Co,3,Asos Plc,Boohoocom Plc,"[
  ""Investigation""
]",4912
Jp Morgan Chase And Co,3,Mastercard Inc,Apple Inc,"[
  ""Fraud""
]",2807636
Jp Morgan Chase And Co,3,Allergan Plc,Alpine Global Premier Propertie,"[
  ""Investigation""
]",3030
Jp Morgan Chase And Co,2,Intercontinental Exchange,Paccar Inc,"[
  ""Shutdown""
]",1
Jp Morgan Chase And Co,3,Bwx Technologies Inc,Ani Pharmaceuticals Inc,"[
  ""Breach""
]",1755
Goldman Sachs Group Inc,3,Dynex Capital,Donaldson Co Inc,"[
  ""Litigation""
]",606
Morgan Stanley International Holdings Inc,3,Gilead Sciences Inc,Galmed Pharmaceuticals Ltd,"[
  ""Clinical Trial""
]",327
Jp Morgan Chase And Co,2,Intercontinental Exchange,Gap Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Tyson Foods Inc,Blackrock New York Muni Trust Inc,"[
  ""Litigation""
]",61938
Goldman Sachs Group Inc,3,Netflix Inc,Helios And Matheson Analytics Inc,"[
  ""Bankruptcy""
]",102
Morgan Stanley International Holdings Inc,3,Bristol-Myers Squibb Company,Anaptysbio Inc,"[
  ""Clinical Trial""
]",5180
Morgan Stanley International Holdings Inc,3,Global Net Lease Inc,Rcs Capital Corp,"[
  ""Bankruptcy""
]",91
Goldman Sachs Group Inc,3,Thomson Reuters Corp,China Communications Construction Co Ltd,"[
  ""Sanctions""
]",7296
Jp Morgan Chase And Co,3,Twilio Inc,Sendgrid Inc,"[
  ""Disruption""
]",756
Jp Morgan Chase And Co,2,Visa Inc,Centerpoint Energy Inc,"[
  ""Litigation""
]",1
Jp Morgan Chase And Co,3,Global Net Lease Inc,Rcs Capital Corp,"[
  ""Bankruptcy""
]",63
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Cognex Cp,"[
  ""Breach""
]",1035
Morgan Stanley International Holdings Inc,3,Goldman Sachs Group Inc,Marcus Corp,"[
  ""Litigation""
]",22404
Morgan Stanley International Holdings Inc,3,Apple Inc,Larsen And Toubro Ltd,"[
  ""Investigation""
]",420
Goldman Sachs Group Inc,3,Ringcentral Inc,Bt Group Plc,"[
  ""Sanctions""
]",10962
Goldman Sachs Group Inc,2,Fair Isaac Corp,Pegasystems Inc,"[
  ""Fraud"",
  ""Fraud""
]",360
Goldman Sachs Group Inc,2,Intercontinental Exchange,Granite Construction Inc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Anadarko Petroleum Corp,Whiting Petroleum Corp,"[
  ""Bankruptcy""
]",18584
Goldman Sachs Group Inc,3,Nasdaq Inc,Agrofresh Solutions,"[
  ""Litigation""
]",6785
Goldman Sachs Group Inc,2,Jp Morgan Chase And Co,Deutsche Bank,"[
  ""Breach""
]",135200
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Blink Charging Co,"[
  ""Investigation""
]",7452
Alphabet Inc,3,Aquinox Pharmaceuticals Inc,Nektar Therapeutics,"[
  ""Clinical Trial""
]",2274
Coca-Cola Company,3,Amarin Corp Plc,Hikma Pharmaceuticals Plc,"[
  ""Litigation""
]",1794
Coca-Cola Company,3,Esco Technologies Inc,Cooperative Bankshares Inc,"[
  ""Litigation""
]",126
Coca-Cola Company,3,Moodys Corp /De/,Jdcom Inc,"[
  ""Data Breach""
]",142976
Coca-Cola Company,3,Amyris Inc,Givaudan Sa,"[
  ""Research""
]",64
Coca-Cola Company,3,Nasdaq Inc,Atossa Therapeutics Inc,"[
  ""Clinical Trial""
]",600
Coca-Cola Company,3,Airbus,Republic Airways Holdings Inc,"[
  ""Bankruptcy""
]",358
Coca-Cola Company,3,Rockwell Automation Inc,Kemper Corp,"[
  ""Litigation"",
  ""Litigation""
]",4167
Coca-Cola Company,3,Suncoke Energy Inc,Ak Steel Holding Corp,"[
  ""Litigation""
]",1914
Coca-Cola Company,3,Alnylam Pharmaceuticals Inc,Bridgebio Pharma Llc,"[
  ""Clinical Trial""
]",2572
Coca-Cola Company,3,Verizon Communications Inc,Fairpoint Communications Inc,"[
  ""Bankruptcy""
]",3120
Coca-Cola Company,3,Resideo Technologies Inc,Newell Brands Inc,"[
  ""Breach""
]",2429
Pepsico Inc,3,Amerisourcebergen Corp,Mwi Veterinary Supply Inc,"[
  ""Criminal Investigation""
]",40
Pepsico Inc,3,Spherix Inc,Adtran Inc,"[
  ""Litigation"",
  ""Litigation""
]",110
Pepsico Inc,3,Novo Nordisk A/S,Soleno Therapeutics Inc,"[
  ""Clinical Trial""
]",1440
Pepsico Inc,3,New Mountain Finance Corp,Belden Inc,"[
  ""Breach""
]",37348
Microsoft Corp,3,Fluidigm Corp,Applied Biosystems Inc,"[
  ""Litigation"",
  ""Litigation"",
  ""Litigation""
]",1197
Alphabet Inc,3,Deutsche Bank,Haier Electronics Group Co Ltd,"[
  ""Research""
]",1512
Alphabet Inc,3,Thomson Reuters Corp,Jbs S/A,"[
  ""Investigation""
]",72200
Alphabet Inc,3,Thomson Reuters Corp,African Barrick Gold Plc,"[
  ""Tax Evasion""
]",645
Alphabet Inc,3,Intrepid Potash Inc,Mosaic Company,"[
  ""Litigation""
]",3160
Alphabet Inc,2,Intercontinental Exchange,Mcdermott Inc,"[
  ""Reorganization""
]",1
Alphabet Inc,3,Innerworkings Inc,Majesco Ltd,"[
  ""Investigation""
]",159816
Alphabet Inc,3,Cns Pharmaceuticals Inc,Reata Pharmaceuticals Inc,"[
  ""Research""
]",3666
Alphabet Inc,3,Morningstar Inc,Arch Coal Inc,"[
  ""Bankruptcy""
]",2319
Microsoft Corp,3,Healthcare Realty Trust Inc,Rcs Capital Corp,"[
  ""Bankruptcy""
]",133
Microsoft Corp,3,Booz Allen Hamilton Holding Corp,Echo Global Logistics Inc,"[
  ""Fraud"",
  ""Investigation"",
  ""Fraud""
]",1788
Microsoft Corp,3,Zogenix Inc,Gw Pharmaceuticals,"[
  ""Clinical Trial""
]",360
Microsoft Corp,2,Hsbc Holdings Plc,Societe Generale,"[
  ""Investigation""
]",1
Pepsico Inc,2,Intercontinental Exchange,National Fuel Gas Co,"[
  ""Investigation""
]",1
Pepsico Inc,3,Overseas Shipholding Group Inc,International Seaways Inc,"[
  ""Bankruptcy""
]",60
Coca-Cola Company,3,Wandt Offshore Inc,Axa Sa,"[
  ""Removal""
]",1404
Coca-Cola Company,3,Trine Acquisition Corp,Exone Co,"[
  ""Breach""
]",5220
Coca-Cola Company,3,Moodys Corp /De/,Oao Gazprom,"[
  ""Sanctions""
]",21760
Coca-Cola Company,3,Phasebio Pharmaceuticals Inc,Cytosorbents Corp,"[
  ""Clinical Trial""
]",30
Coca-Cola Company,3,Biolife Solutions Inc,Adaptimmune Therapeutics Plc,"[
  ""Clinical Trial""
]",48
Microsoft Corp,2,Intercontinental Exchange,Eastman Chemical Company,"[
  ""Investigation""
]",1
Microsoft Corp,3,Kbl Merger Corp Iv,Evotec Ag Ord,"[
  ""Research"",
  ""Research""
]",300
Alphabet Inc,2,Abbvie Inc,Neurocrine Biosciences Inc,"[
  ""Clinical Trial""
]",80
Jp Morgan Chase And Co,3,Twitter Inc,Clicks Group Ltd,"[
  ""Shutdown""
]",603
Jp Morgan Chase And Co,3,Gentiva Health Services Inc,Odyssey Healthcare Inc,"[
  ""Investigation""
]",86
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Lg Electronics Inc,"[
  ""Investigation""
]",1
Coca-Cola Company,3,American Airlines Group Inc,Riverview Financial Corp,"[
  ""Investigation""
]",612
Pepsico Inc,3,Prgx Global Inc,Cotiviti Holdings,"[
  ""Breach Of Contract""
]",84
Alphabet Inc,3,Amc Entertainment Inc,Cineworld Group Plc,"[
  ""Breach Of Contract""
]",1128
Alphabet Inc,3,Sony Corp,Easyjet Plc,"[
  ""Breach""
]",2236
Jp Morgan Chase And Co,3,Aimmune Therapeutics Inc,Bmc Stock Holdings,"[
  ""Breach""
]",45918
Jp Morgan Chase And Co,3,Nasdaq Inc,Pavmed Inc,"[
  ""Research""
]",2760
Jp Morgan Chase And Co,3,Phoenix Tree Holdings Ltd,Imab,"[
  ""Clinical Trial""
]",15449
Morgan Stanley International Holdings Inc,3,Ringcentral Inc,Telus Corp,"[
  ""Sanctions""
]",1536
Goldman Sachs Group Inc,3,Firstenergy Corp,Mariner Energy Inc,"[
  ""Litigation""
]",8879
Goldman Sachs Group Inc,3,Athersys Inc / New,Mesoblast Ltd,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",672
Goldman Sachs Group Inc,3,Jp Morgan Chase And Co,Galectin Therapeutics Inc,"[
  ""Research""
]",2547
Microsoft Corp,3,Intercontinental Exchange,Canntrust Holdings Inc,"[
  ""Investigation""
]",960
Microsoft Corp,3,General Dynamics Corp,Sra International Inc,"[
  ""Hacking""
]",123
Microsoft Corp,3,Verso Corp,Markel Corp,"[
  ""Reorganization""
]",24198
Microsoft Corp,2,Netflix Inc,Blockbuster Inc,"[
  ""Bankruptcy""
]",1
Alphabet Inc,3,Ritter Pharmaceuticals Inc,Wuxi Pharmatech (Cayman) Inc,"[
  ""Clinical Trial""
]",9
Jp Morgan Chase And Co,2,Thomson Reuters Corp,British American Tobacco Plc,"[
  ""Criminal Investigation""
]",1
Jp Morgan Chase And Co,2,Visa Inc,Cadence Bancorporation,"[
  ""Investigation""
]",726
Jp Morgan Chase And Co,2,Intercontinental Exchange,Intralinks Holdings Inc,"[
  ""Breach"",
  ""Breach""
]",168
Jp Morgan Chase And Co,3,Ares Capital Corp,Allied Capital Corp,"[
  ""Reorganization""
]",170
Jp Morgan Chase And Co,3,Renren Inc,Cm Seven Star Acquisition Corp,"[
  ""Dispute""
]",5757
Jp Morgan Chase And Co,3,Icahn Enterprises Lp,White Mountains Insurance Group,"[
  ""Bankruptcy""
]",11506
Jp Morgan Chase And Co,2,Deutsche Bank,Haier Electronics Group Co Ltd,"[
  ""Research""
]",1
Goldman Sachs Group Inc,3,Sealed Air Limited,Madison Square Garden Co,"[
  ""Fraud""
]",25820
Goldman Sachs Group Inc,3,Apellis Pharmaceuticals Inc,Achillion Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",1888
Goldman Sachs Group Inc,2,Intercontinental Exchange,Advanced Disposal Services Inc,"[
  ""Investigation""
]",1
Morgan Stanley International Holdings Inc,3,Plug Power Inc,Hyster-Yale Materials Handling Inc,"[
  ""Breach""
]",336
Morgan Stanley International Holdings Inc,3,Gol Linhas Aereas Inteligentes Sa,Avianca Holdings Sa,"[
  ""Bankruptcy Protection""
]",18480
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Oao Gazprom,"[
  ""Sanctions""
]",1
Jp Morgan Chase And Co,3,Idacorp Inc,Ipc Holdings Ltd,"[
  ""Bankruptcy""
]",169
Jp Morgan Chase And Co,3,Amarin Corp Plc,Acasti Pharma,"[
  ""Clinical Trial""
]",48
Morgan Stanley International Holdings Inc,3,Ligand Pharmaceuticals Inc,Lilly Eli And Co,"[
  ""Clinical Trial""
]",1386
Morgan Stanley International Holdings Inc,3,Barclays Plc,Ucb Sa,"[
  ""Research""
]",2826
Morgan Stanley International Holdings Inc,3,Gilead Sciences Inc,Biomarin Pharmaceutical Inc,"[
  ""Setback""
]",8700
Goldman Sachs Group Inc,2,Intercontinental Exchange,Publicis Groupe,"[
  ""Reorganization""
]",1
Goldman Sachs Group Inc,3,News Corp,Smithfield Foods Inc,"[
  ""Litigation""
]",1268
Coca-Cola Company,3,Novo Nordisk A/S,Soleno Therapeutics Inc,"[
  ""Clinical Trial""
]",1328
Coca-Cola Company,3,Nustar Energy Lp,Georgia Pacific Corp,"[
  ""Investigation""
]",13778
Coca-Cola Company,3,Advanced Disposal Services Inc,Btg Plc,"[
  ""Breach""
]",375
Coca-Cola Company,2,Twitter Inc,Equifax Inc,"[
  ""Data Breach""
]",1
Coca-Cola Company,3,Vertex Pharmaceuticals Inc / Ma,Eloxx Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",144
Coca-Cola Company,3,Corenergy Infrastructure Trust Inc,Energy Xxi Gulf Coast Inc,"[
  ""Bankruptcy"",
  ""Litigation""
]",22
Coca-Cola Company,3,Qualcomm Inc/De,Check Point Software Technologies Inc,"[
  ""Hack""
]",25382
Pepsico Inc,3,Mohawk Industries Inc,Galera Therapeutics Inc,"[
  ""Clinical Trial""
]",604
Coca-Cola Company,3,Royal Bank Of Canada,Cytosorbents Corp,"[
  ""Research""
]",3700
Pepsico Inc,3,Regeneron Pharmaceuticals Inc,Sanofi Sa,"[
  ""Litigation""
]",514766
Pepsico Inc,3,Discover Financial Services,Goldman Sachs Group Inc,"[
  ""Bankruptcy""
]",83809152
Pepsico Inc,3,Valeant Pharmaceuticals International Inc,Depomed Inc,"[
  ""Breach""
]",63670
